@id,address,address_en,coordinates_lat,coordinates_lon,name,name_en,website,workingHours,municipality
4355634895,Тодор Чангов,Todor Changov,41.9772578,21.4835479,Јовче,Jovce,/,Mo-Su 07:00-22:00,3
4455202893,Булевар Јане Сандански,Boulevard Jane Sandanski,41.9854287,21.4674517,Кам маркет,Kam Market,http://www.kam.com.mk,/,3
4484127494,Христо Татарчев,Hristo Tatarcev,41.9760296,21.444501,Гранап,Granap,http://granapdoma.mk/,Mo-Su 08:00-22:00,6
4616754990,Атинска,Atinska,41.9972875,21.4085105,Рептил,Reptil Market,/,/,7
4710537461,Св. Кирил и Методиj 5,St. Kiril i Metodij,41.9896032,21.4323528,Тинекс,Tinex,http://www.tinex.com.mk/,Mo-Sa 08:00-22:00,1
4732551922,Булевар Партизански Одреди,Boulevard Partizanski Odredi,42.0005257,21.4121462,Рептил,Reptil Market,http://reptilmarketi.mk/,Mo-Sa 07:00-21:00,7
4774073690,Васил Ѓоргов,Vasil Gjorgov,41.9929149,21.4199718,Тинекс,Tinex,http://www.tinex.com.mk/,Mo-Su 08:00-22:00,1
4889402965,Павел Шатев,Pavel Shatev,41.9867649,21.4306785,Маркет Поло,Market Polo,/,Mo-Sa 08:00-22:00,1
4900357523,Благој Давков,Blagoj Davkov,42.001234,21.4168689,Рамстор,Ramstore,http://ramstore.com.mk/,Mo-Sa 09:00-22:00,7
5017111222,Благој Давков,Blagoj Davkov,42.0007316,21.4175012,Кам маркет,Kam Market,/,/,7
5102511522,Даме Груев,Dame Gruev,41.9964763,21.4276669,Тинекс,Tinex,/,Mo-Sa 08:00-23:00; Su 08:00-20:00,1
5130533607,Васил Главинов,Vasil Glavinov,41.9934245,21.4286854,Деликатесен тинекс,Delicatessen Tinex,https://www.facebook.com/DelicatessenTinex/,Mo-Su 08:00-22:00,1
5155434323,Дижонска,Dizonska,42.0236333,21.4371996,Кипер маркет,Kipper Market,http://kipper.mk/,Mo-Sa 09:00-22:00,8
5155454122,Боро Менков,Boro Menkov,42.0239903,21.4371972,Стокомак,Stokomak,/,Mo-Sa 08:00-22:00,8
5286112857,Никола Тесла,Nikola Tesla,42.0056203,21.4111987,Гранап 5,Granap 5,https://www.facebook.com/GranapMarket/,Mo-Su 08:00-22:00,7
5292130937,23-ти Октомври,23 Oktomvri,41.9879358,21.4558769,Рамстор,Ramstore,http://ramstore.com.mk/,Mo-Sa 08:00-22:00,3
5323697760,Никола Парапунов,Nikola Parapunov,42.0079128,21.3842555,Гранап,Granap,https://granapdoma.mk/,Mo-Sa 08:00-22:00,7
5334911021,Волковска,Volkovska,42.0245187,21.350659,Кам маркет,Kam Market,http://kam.com.mk/,/,2
5344777681,Булевар Партизански Одреди,Boulevard Partizanski Odredi,42.0075655,21.3704929,Рептил,Reptil,http://www.reptilmarketi.mk/,Mo-Sa 07:00-21:00,2
5598215760,Манапо,Manapo,42.0065872,21.393054,Веро,Vero,http://www.vero.com.mk/,Mo-Sa 08:00-22:00,7
5829207731,Михаил Чаков,Mihail Chakov,41.9817349,21.4439477,Кам маркет,Kam Market,http://www.kam.com.mk/,Mo-Sa 07:30-21:30,6
5841674941,Булевар Партизански Одреди,Boulevard Partizanski Odredi,41.9990831,21.4220152,Тинекс,Tinex,http://tinex.com.mk/,Mo-Sa 08:00-22:00,1
6054048724,Булевар Партизански Одреди,Boulevard Partizanski Odredi,41.9994766,21.4177897,Маркет фратели,Market Fratelli,/,/,7
