@id,name,name_en
1,Центар,Centar
2,Ѓорче Петров,Gjorce Petrov
3,Аеродром,Aerodrom
4,Чаир,Chair
5,Гази Баба,Gazi Baba
6,Кисела Вода,Kisela Voda
7,Карпош,Karposh
8,Бутел,Butel
